M,S,absolute_rmse,field,first_moment_l1_radius_normalized,full_band_nrmse,low_band_nrmse,reference_rms,shape,source,stage,zeroth_moment_l1_normalized
32,32,0.00013418975713796815,gaussian,1.2843600795355121e-17,0.0016640620947154607,0.0008858429406009937,0.08063987369468528,"(28, 28)",cfp,2,0.00020860711254431664
32,32,0.0006346434484102431,modulated,1.0381321089164906e-17,0.024671807046310213,0.024322640864415192,0.025723427846974716,"(28, 28)",cfp,2,0.009461882058627483
32,32,0.00034177295636570403,signed_pair,0.00018274671615299331,0.006876827629408245,0.0038507259716859116,0.0496992181255405,"(28, 28)",cfp,2,1.6106629009701771e-16
32,64,0.00013288310221738585,gaussian,8.078907009773214e-18,0.0018664951047388451,0.000795683191064164,0.07119391949114086,"(28, 28)",cfp,2,0.00036575874995970224
32,64,0.00023241659544151743,modulated,7.091354964333954e-18,0.010386705343858235,0.005437298890903609,0.02237635397820809,"(28, 28)",cfp,2,0.002405185291659735
32,64,0.00020758908652523963,signed_pair,0.00012402334494460173,0.004804305460666355,0.0015001963331698108,0.043208969168344075,"(28, 28)",cfp,2,1.0755727110086718e-16
32,128,0.0001172059781263808,gaussian,9.43894401508132e-18,0.001646291972181213,0.0007077995327921182,0.07119391949114086,"(28, 28)",cfp,2,7.016169602517381e-05
32,128,0.00013976711953125667,modulated,5.917990602084167e-18,0.006246197198496825,0.001701507384787596,0.02237635397820809,"(28, 28)",cfp,2,0.00043569211049528263
32,128,0.00019613116756972328,signed_pair,2.4709987698152904e-05,0.00453913091065856,0.0011026753026176794,0.043208969168344075,"(28, 28)",cfp,2,9.535851852292127e-17
32,32,0.0001782661118253543,gaussian,2.352809661571198e-17,0.004362940509057078,0.001587158346101451,0.04085916630201344,"(16, 12, 12)",oct,2,0.0007241606009078323
32,32,0.00023538366269902484,modulated,1.9202643268672973e-17,0.011916318318415628,0.006831374077159232,0.01975305261317667,"(16, 12, 12)",oct,2,0.005299780305195508
32,32,0.0002022839667511418,signed_pair,0.0005621966142304519,0.013079183220447686,0.0054290645223606625,0.015466100852146168,"(16, 12, 12)",oct,2,2.4934958542428147e-16
32,64,0.00011413373112480906,gaussian,1.425354853235592e-17,0.0027933445895880855,0.0011725189094950288,0.04085916630201344,"(16, 12, 12)",oct,2,0.0006857363030237801
32,64,7.520802964286709e-05,modulated,1.0477578317254181e-17,0.003807413016897351,0.0018498456288844737,0.01975305261317667,"(16, 12, 12)",oct,2,0.0006168149345051697
32,64,9.284468506152355e-05,signed_pair,9.80505266011526e-05,0.006003108731095587,0.0022888942771384824,0.015466100852146168,"(16, 12, 12)",oct,2,1.8049770649732758e-16
32,32,0.0005635349513886467,gaussian,1.5076238367654406e-17,0.005880082965817828,0.00260245391407122,0.09583792518993271,"(14, 14)",cfp,3,0.0024492375957607926
32,32,0.0005510440333049956,modulated,2.2614647892851178e-17,0.009480987244329102,0.005607750380083841,0.05812095503393844,"(14, 14)",cfp,3,0.00456010413033157
32,32,0.0007068824054044748,signed_pair,0.000416693970730738,0.012352305371686963,0.007782306217386642,0.057226759227045836,"(14, 14)",cfp,3,3.2221851775514016e-16
32,64,0.00037992075001003315,gaussian,9.850886041022971e-18,0.003964200490120188,0.0012634248953387408,0.09583792518993271,"(14, 14)",cfp,3,0.0004969107740753146
32,64,0.00028291477248037166,modulated,2.12751283957709e-17,0.004867689670879804,0.0018903664247295524,0.05812095503393844,"(14, 14)",cfp,3,0.0008628113942778198
32,64,0.00045306754822516733,signed_pair,0.0001625679899607408,0.007917057585379462,0.002255554923090481,0.057226759227045836,"(14, 14)",cfp,3,3.377905929575572e-16
32,128,0.00041583446600477634,gaussian,6.566362415051958e-18,0.0043389343538131776,0.0012972210976656272,0.09583792518993271,"(14, 14)",cfp,3,0.0004987496809177674
32,128,0.0003098955749474468,modulated,1.8647644761293436e-17,0.005331907825094928,0.001551194963918237,0.05812095503393844,"(14, 14)",cfp,3,0.0007373626700014816
32,128,0.0004590826575387355,signed_pair,0.00010716415961424197,0.008022167666656359,0.0018014365352312612,0.057226759227045836,"(14, 14)",cfp,3,3.271293809962142e-16
32,32,0.0003350132816377923,gaussian,1.3445657946618354e-17,0.00621681415303709,0.0036834329347208154,0.05388825745645441,"(8, 6, 6)",oct,3,0.0037793326912750006
32,32,0.00030261357112274667,modulated,1.2482232939442794e-17,0.00688082793059893,0.004479211552663785,0.043979238279892016,"(8, 6, 6)",oct,3,0.004897848532202639
32,32,0.00022110803093457312,signed_pair,0.0006377744604996331,0.013297970463558453,0.009223817123776401,0.016627201236496508,"(8, 6, 6)",oct,3,1.5522698372778835e-16
32,64,0.00030201257206193796,gaussian,8.792891940833275e-18,0.00560442267605305,0.002494277000442755,0.05388825745645441,"(8, 6, 6)",oct,3,0.0019973895979762337
32,64,0.00026634986479697766,modulated,7.59841698121558e-18,0.0060562637102052055,0.003029573052193661,0.043979238279892016,"(8, 6, 6)",oct,3,0.0026637372262025743
32,64,0.0002183353066991843,signed_pair,0.000542279774353682,0.013131212138092183,0.007746136446279316,0.016627201236496508,"(8, 6, 6)",oct,3,1.2755995510164269e-16
32,128,0.0003050031211331419,gaussian,7.285559206083831e-18,0.005659918051341822,0.0025756414734857394,0.05388825745645441,"(8, 6, 6)",oct,3,0.002061708625078077
32,128,0.0002690792872174683,modulated,8.194426986557276e-18,0.006118325322166744,0.0031260179132479022,0.043979238279892016,"(8, 6, 6)",oct,3,0.002746612075766736
32,128,0.00021821093452627875,signed_pair,0.0005428290074411997,0.013123732095532012,0.007724455932435345,0.016627201236496508,"(8, 6, 6)",oct,3,1.3972071454396915e-16
32,32,0.0013124732522501977,gaussian,8.036485534659564e-18,0.010392068959485993,0.007530806370630595,0.12629566425770858,"(7, 7)",cfp,4,0.0062170326583749925
32,32,0.0011481259616841512,modulated,5.505928323415069e-18,0.010396448186118498,0.008035343282067658,0.1104344427183456,"(7, 7)",cfp,4,0.006964325476453661
32,32,0.0015117772431162688,signed_pair,0.001529123398659129,0.02156961452607301,0.014038910460222844,0.0700882828151081,"(7, 7)",cfp,4,8.502613789392984e-17
32,64,0.0017010023481273122,gaussian,7.919927499636784e-18,0.01346841443944098,0.009214415972690487,0.12629566425770858,"(7, 7)",cfp,4,0.008468129459812518
32,64,0.0015720146953727252,modulated,8.166890897988715e-18,0.014234822548813196,0.010022571588458087,0.1104344427183456,"(7, 7)",cfp,4,0.009330508834153779
32,64,0.0012474704169348379,signed_pair,0.001773904707707044,0.017798558715237,0.013482282167175548,0.0700882828151081,"(7, 7)",cfp,4,1.060837195048671e-16
32,128,0.0017991861297479376,gaussian,6.366677019793766e-18,0.014245826571501821,0.009763157336937067,0.12629566425770858,"(7, 7)",cfp,4,0.008833772152753298
32,128,0.0016818095588562157,modulated,5.400400593383113e-18,0.015229031065476007,0.010771548908141408,0.1104344427183456,"(7, 7)",cfp,4,0.009896350452970768
32,128,0.0011832795879599461,signed_pair,0.0015890235425691072,0.016882701935806033,0.012120342588914333,0.0700882828151081,"(7, 7)",cfp,4,7.31747311196216e-17
32,32,0.0020212947370197923,gaussian,2.1242723708987042e-17,0.026867770526550556,0.024088356183313776,0.07523120442845684,"(4, 3, 3)",oct,4,0.024593387931160476
32,32,0.0018010058682304923,modulated,2.024245647982178e-17,0.026874567705044147,0.024096215834655776,0.06701524980781208,"(4, 3, 3)",oct,4,0.02460218385093467
32,32,0.0035106155520359134,signed_pair,0.00431768886599861,0.0515995615347767,0.05328053885025447,0.06803576324325653,"(4, 3, 3)",oct,4,3.045396230294428e-16
32,64,0.002047441859494204,gaussian,2.2594807022313236e-17,0.027215327403687588,0.02366551821012372,0.07523120442845684,"(4, 3, 3)",oct,4,0.023751667541948317
32,64,0.0018243073267162043,modulated,2.257783828326011e-17,0.02722227152697328,0.023672970358017093,0.06701524980781208,"(4, 3, 3)",oct,4,0.023759559230601014
32,64,0.003577427697967923,signed_pair,0.004253599659034469,0.05258157662135885,0.053155306336051915,0.06803576324325653,"(4, 3, 3)",oct,4,3.0644174851591444e-16
32,128,0.0020550654195931085,gaussian,1.98590904525254e-17,0.02731666248341709,0.02371312982076041,0.07523120442845684,"(4, 3, 3)",oct,4,0.02388266716626495
32,128,0.0018310984942746771,modulated,1.8280623447095575e-17,0.027323609171434036,0.023720561049847,0.06701524980781208,"(4, 3, 3)",oct,4,0.0238906148336822
32,128,0.003628091485377803,signed_pair,0.004344350646444949,0.05332624067736034,0.05416870647000265,0.06803576324325653,"(4, 3, 3)",oct,4,2.926605281081765e-16
16,64,0.0003691185526199073,gaussian,9.77268341699255e-18,0.003851487309311775,0.0014549717495976194,0.0958379251899613,"(14, 14)",cfp,3,0.0002286458799847797
16,64,0.000293942172077447,modulated,1.6827086319997833e-17,0.005057421604229115,0.0023835655000001297,0.058120954723578276,"(14, 14)",cfp,3,0.0006825694559466707
16,64,0.0004539690719676887,signed_pair,0.00013147127945338792,0.00793281120978393,0.0023958300115232843,0.057226758580588184,"(14, 14)",cfp,3,3.6511880037666917e-16
64,64,0.0003843420984113821,gaussian,1.2420293109782363e-17,0.004010334089033005,0.0012663747319712668,0.09583792518993271,"(14, 14)",cfp,3,0.0007555181525601106
64,64,0.0002841525026873088,modulated,2.1094321887368328e-17,0.004888985240211485,0.0018338566572241003,0.058120957361494724,"(14, 14)",cfp,3,0.0011124238098001978
64,64,0.0004576019134475452,signed_pair,0.00016345870786960465,0.007996291997498272,0.002221524523817575,0.05722676380386197,"(14, 14)",cfp,3,3.295876865445161e-16
16,64,0.0003060738531879083,gaussian,1.0185924173027822e-17,0.005679814670655471,0.001954401816208255,0.05388800003796361,"(8, 6, 6)",oct,3,0.0016066719178938196
16,64,0.00027855068094159263,modulated,9.182794635040728e-18,0.006333851041229259,0.002473979930192808,0.04397809154784482,"(8, 6, 6)",oct,3,0.0022165345622047975
16,64,0.00021761046442590008,signed_pair,0.0005358482378200675,0.013097015835750812,0.007744080153402458,0.016615270772742798,"(8, 6, 6)",oct,3,1.3047535762229605e-16
64,64,0.0002804691366066304,gaussian,8.75445531014076e-18,0.005204665156751981,0.002329926743685554,0.053888027021830494,"(8, 6, 6)",oct,3,0.0019774680612783986
64,64,0.00024749130695720647,modulated,8.13758417613525e-18,0.005627490184988763,0.0027722962161946295,0.0439789850931034,"(8, 6, 6)",oct,3,0.0025768843408165124
64,64,0.00019439349727965607,signed_pair,0.0004512050356322045,0.011695642707821531,0.006522479213666774,0.01662101879614142,"(8, 6, 6)",oct,3,1.347894912835638e-16
